"","raw.y","raw.x","pass","groupid"
"364","National Army for the Liberation of Uganda (NALU)","National Army for the Liberation of Uganda (NALU)","Duplicate",475
"365","National Democratic Front of Bodoland (NDFB)","National Democratic Front of Bodoland (NDFB)","Duplicate",548
"366","National Democratic Front of Bodoland (NDFB)","National Democratic Front of Bodoland  NDFB ","Partial",548
"367","National Liberation Army (Colombia)","National Liberation Army (Colombia)","Duplicate",61
"368","National Liberation Front of Tripura (NLFT)","National Liberation Front of Tripura (NLFT)","Duplicate",549
"369","National Liberation Front of Tripura (NLFT)","National Liberation Front of Tripura  NLFT ","Partial",549
"370","National Revolutionary Front","National Revolutionary Front","Duplicate",613
"371","National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM)","National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM)","Duplicate",551
"372","National Socialist Council of Nagaland-Khaplang (NSCN-K)","National Socialist Council of Nagaland-Khaplang (NSCN-K)","Duplicate",552
"373","National Warriors","National Warriors","Duplicate",498
"374","National Warriors","National Warriors","Duplicate",498
"375","Nationalist Kurdish Revenge Teams","Nationalist Kurdish Revenge Teams","Duplicate",425
"376","Nationalist Kurdish Revenge Teams","Nationalist Kurdish Revenge Teams","Duplicate",425
"377","New People's Army (NPA)","New People's Army (NPA)","Duplicate",630
"378","New Red Brigades / Communist Combatant Party","New Red Brigades   Communist Combatant Party","Partial",223
"379","New Red Brigades / Communist Combatant Party","New Red Brigades / Communist Combatant Party","Duplicate",223
"380","New Revolutionary Alternative","New Revolutionary Alternative","Duplicate",336
"381","New Revolutionary Alternative","New Revolutionary Alternative","Duplicate",336
"382","New Revolutionary Popular Struggle (NELA)","New Revolutionary Popular Struggle (NELA)","Duplicate",299
"383","New Revolutionary Popular Struggle (NELA)","New Revolutionary Popular Struggle  NELA ","Partial",299
"384","Night Avengers","Night Avengers","Duplicate",69
"385","Night Avengers","Night Avengers","Duplicate",69
"386","November's Children","November s Children","Partial",300
"387","November's Children","November's Children","Duplicate",300
"388","Nuclei for Promoting Total Catastrophe","Nuclei for Promoting Total Catastrophe","Duplicate",301
"389","Nuclei for Promoting Total Catastrophe","Nuclei for Promoting Total Catastrophe","Duplicate",301
"390","Odua Peoples' Congress","Odua Peoples' Congress","Duplicate",646
"391","Ogaden National Liberation Front (ONLF)","Ogaden National Liberation Front (ONLF)","Duplicate",486
"392","Orange Volunteers (OV)","Orange Volunteers (OV)","Duplicate",147
"393","Orange Volunteers (OV)","Orange Volunteers  OV ","Partial",147
"394","Oromo Liberation Front (OLF)","Oromo Liberation Front (OLF)","Duplicate",487
"395","Oromo Liberation Front (OLF)","Oromo Liberation Front  OLF ","Partial",487
"396","Overthrown Anarchist Faction","Overthrown Anarchist Faction","Duplicate",302
"397","Overthrown Anarchist Faction","Overthrown Anarchist Faction","Duplicate",302
"398","Padanian Armed Separatist Phalanx","Padanian Armed Separatist Phalanx  FASP ","Partial",225
"399","Palestinian Islamic Jihad (PIJ)","Palestinian Islamic Jihad (PIJ)","Duplicate",429
"400","Palestinian Islamic Jihad (PIJ)","Palestinian Islamic Jihad  PIJ ","Partial",429
"401","Pattani United Liberation Organization (PULO)","Pattani United Liberation Organization  PULO ","Partial",614
"402","Pattani United Liberation Organization (PULO)","Pattani United Liberation Organization (PULO)","Duplicate",614
"403","People Against Gangsterism and Drugs (PAGAD)","People Against Gangsterism And Drugs (PAGAD)","Duplicate",499
"404","People's Liberation Army (PLA) (India)","People's Liberation Army (PLA) (India)","Duplicate",554
"405","People's Liberation Army of Kurdistan (ARGK)","People's Liberation Army of Kurdistan (ARGK)","Duplicate",649
"406","People's Liberation Army of Kurdistan (ARGK)","People s Liberation Army of Kurdistan  ARGK ","Partial",649
"407","People's Revolutionary Army (Colombia)","People's Revolutionary Army (Colombia)","Duplicate",75
"408","People's Revolutionary Militias","People's Revolutionary Militias","Duplicate",76
"409","People's Revolutionary Militias","People s Revolutionary Militias","Partial",76
"410","People's Revolutionary Party of Kangleipak (PREPAK)","People's Revolutionary Party of Kangleipak (PREPAK)","Duplicate",555
"411","People's War Group (PWG)","People's War Group (PWG)","Duplicate",556
"412","Peoples Liberation Organization of Tamil Eelam","Peoples Liberation Organization of Tamil Eelam","Duplicate",606
"413","Polisario Front","Polisario Front","Duplicate",433
"414","Popular Front for the Liberation of Palestine (PFLP)","Popular Front for the Liberation of Palestine (PFLP)","Duplicate",434
"415","Popular Front for the Liberation of Palestine-GC (PFLP-GC)","Popular Front for the Liberation of Palestine-GC (PFLP-GC)","Duplicate",435
"416","Popular Justice","Popular Justice","Duplicate",303
"417","Popular Justice","Popular Justice","Duplicate",303
"418","Popular Resistance","Popular Resistance","Duplicate",304
"419","Popular Resistance","Popular Resistance","Duplicate",304
"420","Popular Resistance Committees","Popular Resistance Committees","Duplicate",436
"421","Popular Resistance Committees","Popular Resistance Committees","Duplicate",436
"422","Popular Revolutionary Action","Popular Revolutionary Action","Duplicate",305
"423","Popular Revolutionary Action","Popular Revolutionary Action","Duplicate",305
"424","Popular Revolutionary Army (Mexico)","Popular Revolutionary Army (Mexico)","Duplicate",80
"425","Popular Revolutionary Front (LEM)","Popular Revolutionary Front  LEM ","Partial",306
"426","Popular Revolutionary Front (LEM)","Popular Revolutionary Front (LEM)","Duplicate",306
"427","Popular Self-Defense Forces (FAP)","Popular Self-Defense Forces (FAP)","Duplicate",472
"428","Proletarian Combat Groups","Proletarian Combatant Groups","Partial",226
"429","Proletarian Combat Groups","Proletarian Combatant Groups","Partial",226
"430","Proletarian Nuclei For Communism","Proletarian Nuclei for Communism","Duplicate",227
"431","Proletarian Nuclei For Communism","Proletarian Nuclei for Communism","Duplicate",227
"432","Proletarian Reprisals","Proletarian Reprisals","Duplicate",307
"433","Proletarian Reprisals","Proletarian Reprisals","Duplicate",307
"434","Proletarian Resistance","Proletarian Resistance","Duplicate",308
"435","Proletarian Resistance","Proletarian Resistance","Duplicate",308
"436","Proletarian Solidarity","Proletarian Solidarity","Duplicate",309
"437","Proletarian Solidarity","Proletarian Solidarity","Duplicate",309
"438","Protectors of Islam Brigade","Protectors of Islam Brigade","Duplicate",650
"439","Pueblo Regrupado","Pueblo Regrupado","Duplicate",81
"440","Purbo Banglar Communist Party (PBCP)","Purbo Banglar Communist Party","Partial",585
"441","Purbo Banglar Communist Party (PBCP)","Purbo Banglar Communist Party","Partial",585
"442","Rebolusyonaryong Hukbong Bayan (RHB)","Rebolusyonaryong Hukbong Bayan (RHB)","Duplicate",631
"443","Red Flag (Venezuela)","Red Flag (Venezuela)","Duplicate",84
"444","Red Guerrillas","Red Guerrillas","Duplicate",337
"445","Red Guerrillas","Red Guerrillas","Duplicate",337
"446","Red Line","Red Line","Duplicate",310
"447","Red Line","Red Line","Duplicate",310
"448","Resistenza Corza","Resistenza Corsa","Partial",183
"449","Resistenza Corza","Resistenza Corsa","Partial",183
"450","Revenge of the Hebrew Babies","Revenge of Hebrew Babies","Partial",437
"451","Revenge of the Hebrew Babies","Revenge of Hebrew Babies","Partial",437
"452","Revolutionary Armed Corps (CAR)","Revolutionary Armed Corps  CAR ","Partial",85
"453","Revolutionary Armed Corps (CAR)","Revolutionary Armed Corps (CAR)","Duplicate",85
"454","Revolutionary Armed Forces of Colombia (FARC)","Revolutionary Armed Forces of Colombia  FARC ","Partial",86
"455","Revolutionary Armed Forces of Colombia (FARC)","Revolutionary Armed Forces of Colombia (FARC)","Duplicate",86
"456","Revolutionary Armed Forces of the People (FARP)","Revolutionary Armed Forces of the People (FARP)","Duplicate",87
"457","Revolutionary Armed Forces of the People (FARP)","Revolutionary Armed Forces of the People  FARP ","Partial",87
"458","Revolutionary Army","Revolutionary Army","Duplicate",523
"459","Revolutionary Army","Revolutionary Army","Duplicate",523
"460","Revolutionary Brigades","Revolutionary Brigades","Duplicate",311
"461","Revolutionary Brigades","Revolutionary Brigades","Duplicate",311
"462","Revolutionary Cells Animal Liberation Brigade","Revolutionary Cells Animal Liberation Brigade","Duplicate",130
"463","Revolutionary Cells Animal Liberation Brigade","Revolutionary Cells Animal Liberation Brigade","Duplicate",130
"464","Revolutionary Front for Communism","Revolutionary Front for Communism","Duplicate",229
"465","Revolutionary Front for Communism","Revolutionary Front for Communism","Duplicate",229
"466","Revolutionary Leninist Brigades","Revolutionary Leninist Brigades","Duplicate",230
"467","Revolutionary Leninist Brigades","Revolutionary Leninist Brigades","Duplicate",230
"468","Revolutionary Liberation Action","Revolutionary Liberation Action","Duplicate",312
"469","Revolutionary Liberation Action","Revolutionary Liberation Action","Duplicate",312
"470","Revolutionary Memory","Revolutionary Memory","Duplicate",314
"471","Revolutionary Memory","Revolutionary Memory","Duplicate",314
"472","Revolutionary Nuclei","Revolutionary Nuclei","Duplicate",315
"473","Revolutionary Nuclei","Revolutionary Nuclei","Duplicate",315
"474","Revolutionary Offensive Cells","Revolutionary Offensive Cells","Duplicate",232
"475","Revolutionary Offensive Cells","Revolutionary Offensive Cells","Duplicate",232
"476","Revolutionary Organization 17 November (17N)","Revolutionary Organization 17 November (RO-N17)","Partial",316
"477","Revolutionary Organization 17 November (17N)","Revolutionary Organization 17 November  RO N17 ","Partial",316
"478","Revolutionary Perspective","Revolutionary Perspective","Duplicate",194
"479","Revolutionary Perspective","Revolutionary Perspective","Duplicate",194
"480","Revolutionary Proletarian Initative Nuclei","Revolutionary Proletarian Initiative Nuclei","Partial",233
"481","Revolutionary Proletarian Initative Nuclei","Revolutionary Proletarian Initiative Nuclei","Partial",233
"482","Revolutionary Proletarian Nucleus","Revolutionary Proletarian Nucleus","Duplicate",234
"483","Revolutionary Proletarian Nucleus","Revolutionary Proletarian Nucleus","Duplicate",234
"484","Revolutionary Socialists","Revolutionary Socialists","Duplicate",344
"485","Revolutionary Socialists","Revolutionary Socialists","Duplicate",344
"486","Revolutionary Struggle","Revolutionary Struggle","Duplicate",319
"487","Revolutionary Struggle","Revolutionary Struggle","Duplicate",319
"488","Revolutionary Subversive Faction-Commando Unibomber","Revolutionary Subversive Faction-Commando Unibomber","Duplicate",320
"489","Revolutionary Torch-Bearing Run","Revolutionary Torch-Bearing Run","Duplicate",321
"490","Revolutionary United Front (RUF)","Revolutionary United Front (RUF)","Duplicate",643
"491","Revolutionary Violence Group","Revolutionary Violence Group  RVG ","Partial",322
"492","Rigas Fereos","Rigas Fereos","Duplicate",323
"493","Rigas Fereos","Rigas Fereos","Duplicate",323
"494","Riyad us-Saliheyn Martyrs' Brigade","Riyad us-Saliheyn Martyrs' Brigade","Duplicate",338
"495","Russian National Bolshevist Party","Russian National Bolshevist Party","Duplicate",339
"496","Russian National Unity","Russian National Unity","Duplicate",340
"497","Russian National Unity","Russian National Unity","Duplicate",340
"498","Saif ul-Muslimeen","Saif-ul-Muslimeen","Partial",508
"499","Salafia Jihadia","Salafia Jihadia","Duplicate",438
"500","Salafist Group for Call and Combat (GSPC)","Salafist Group for Call and Combat (GSPC)","Duplicate",439
"501","Salah al-Din Battalions","Salah al-Din Battalions","Duplicate",440
"502","Saraya al-Shuhuada al-jihadiyah fi al-Iraq","Saraya al-Shuhuada al-jihadiyah fi al-Iraq","Duplicate",441
"503","Save Kashmir Movement","Save Kashmir Movement","Duplicate",557
"504","Self-Defense Groups of Cordoba and Uraba (ACCU)","Self-Defense Groups of Cordoba and Uraba (ACCU)","Duplicate",95
"505","Shining Path","Shining Path","Duplicate",96
"506","Shurafa al-Urdun","Shurafa al-Urdun","Duplicate",443
"507","Sihala Urumaya","Sihala Urumaya","Duplicate",608
"508","Sipah-e-Sahaba Pakistan (SSP)","Sipah-e-Sahaba Pakistan (SSP)","Duplicate",579
"509","Solidarity Gas Canisters","Solidarity Gas Canisters","Duplicate",325
"510","Solidarity for Political Prisoners","Solidarity for Political Prisoners","Duplicate",326
"511","Solidarity with 17N","Solidarity with 17N","Duplicate",327
"512","South Maluku Republic (RMS)","South Maluku Republic (RMS)","Duplicate",639
"513","Sri Nakharo","Sri Nakharo","Duplicate",615
"514","Strugglers for the Unity and Freedom of Greater Syria","Strugglers for the Unity and Freedom of Greater Syria","Duplicate",445
"515","Students Islamic Movement of India (SIMI)","Students Islamic Movement of India (SIMI)","Duplicate",558
"516","Sudan People's Liberation Army","Sudan People's Liberation Army","Duplicate",446
"517","Supporters of Horst Ludwig Meyer","Supporters of Horst Ludwig Meyer","Duplicate",346
"518","Sword of Islam","Sword of Islam","Duplicate",341
"519","Syrian Social Nationalist Party","Syrian Social Nationalist Party","Duplicate",447
"520","TKEP/L","TKEP/L","Duplicate",452
"521","TKP/ML-TIKKO","TKP/ML-TIKKO","Duplicate",453
"522","Takfir wa Hijra","Takfir wa Hijra","Duplicate",448
"523","Taliban","Taliban","Duplicate",509
"524","Tanzim","Tanzim","Duplicate",449
"525","Tawhid Islamic Brigades","Tawhid Islamic Brigades","Duplicate",451
"526","Tawhid and Jihad","Tawhid and Jihad","Duplicate",450
"527","Tehrik-e-Jafria (TJP)","Tehrik-e-Jafria (TJP)","Duplicate",580
"528","Territorial Anti-Imperialist Nuclei","Territorial Anti-Imperialist Nuclei","Duplicate",237
"529","The Committee for Promotion of Intransigence","The Committee for Promotion of Intransigence","Duplicate",328
"530","The Holders of the Black Banners","The Holders of the Black Banners","Duplicate",454
"531","The Inevitables","The Inevitables","Duplicate",100
"532","The National Anti-Corruption Front","The National Anti-Corruption Front","Duplicate",101
"533","Tigers","Tigers","Duplicate",502
"534","Torrid Winter","Torrid Winter","Duplicate",329
"535","Totally Anti-War Group (ATAG)","Totally Anti-War Group (ATAG)","Duplicate",185
"536","Tupac Amaru Revolutionary Movement","Tupac Amaru Revolutionary Movement","Duplicate",103
"537","Tupamaro Revolutionary Movement - January 23","Tupamaro Revolutionary Movement - January 23","Duplicate",104
"538","Turkish Hezbollah","Turkish Hezbollah","Duplicate",456
"539","Turkish People's Liberation Front (TPLF) (THKP-C)","Turkish People's Liberation Front (TPLF)","Partial",457
"540","UNITA","UNITA","Duplicate",492
"541","Ulster Volunteer Force (UVF)","Ulster Volunteer Force (UVF)","Duplicate",153
"542","Ummah Liberation Army (ULA)","Ummah Liberation Army (ULA)","Duplicate",458
"543","Uncontrolled Rage","Uncontrolled Rage","Duplicate",330
"544","Underground Government of the Free Democratic People of Laos","Underground Government of the Free Democratic People of Laos","Duplicate",619
"545","United Liberation Front of Assam (ULFA)","United Liberation Front of Assam (ULFA)","Duplicate",561
"546","United People's Demoratic Solidarity (UPDS)","United People's Democratic Solidarity (UPDS)","Partial",563
"547","United Self-Defense Forces of Colombia (AUC)","United Self-Defense Forces of Colombia (AUC)","Duplicate",109
"548","United Self-Defense Forces of Venezuela (AUV)","United Self-Defense Forces of Venezuela (AUV)","Duplicate",110
"549","United Tajik Opposition (UTO)","United Tajik Opposition (UTO)","Duplicate",512
"550","Usd Allah","Usd Allah","Duplicate",460
"551","Uygur Holy War Organization","Uygur Holy War Organization","Duplicate",515
"552","Vigorous Burmese Student Warriors","Vigorous Burmese Student Warriors","Duplicate",602
"553","Vitalunismo","Vitalunismo","Duplicate",238
"554","White Legion","White Legion","Duplicate",112
"555","White Wolves","White Wolves","Duplicate",501
"556","Young Liberators of Pattani","Young Liberators of Pattani","Duplicate",616
"557","al-Aarifeen","al-Aarifeen","Duplicate",581
"558","al-Ahwal Brigades","al-Ahwal Brigades","Duplicate",461
"559","al-Aqsa Martyrs Brigade","al Aqsa Martyrs Brigades","Partial",364
"560","al-Aqsa Martyrs Brigade","al-Aqsa Martyrs Brigades","Partial",364
"561","al-Badr","al-Badr","Duplicate",510
"562","al-Badr","al Badr","Partial",510
"563","al-Bara bin Malek Brigades","al-Bara bin Malek Brigades","Duplicate",462
"564","al-Barq","al-Barq","Duplicate",565
"565","al-Faruq Brigades","al-Faruq Brigades","Duplicate",463
"566","al-Fatah","al-Fatah","Duplicate",464
"567","al-Fatah","al Fatah","Partial",464
"568","al-Fuqra (Jammat al-Fuqra)","al-Fuqra (Jammat al-Fuqra)","Duplicate",134
"569","al-Gama'a al-Islamiyya (GAI)","al-Gama'a al-Islamiyya (GAI)","Duplicate",465
"570","al-Inqitami al-Pakistan","al-Intiqami al-Pakistani","Partial",582
"571","al-Ittihaad al-Islami (AIAI)","al-Ittihaad al-Islami (AIAI)","Duplicate",482
"572","al-Madina","al-Madina","Duplicate",566
"573","al-Madina","al Madina","Partial",566
"574","al-Nawaz","al-Nawaz","Duplicate",583
"575","al-Nawaz","al Nawaz","Partial",583
"576","al-Qaeda","al-Qaeda","Duplicate",511
"577","al-Qaeda Organization in the Land of the Two Rivers","al-Qaeda Organization in the Land of the Two Rivers","Duplicate",466
"578","al-Quds Brigades","al-Quds Brigades","Duplicate",469
"579","al-Sadr Brigades","al-Sadr Brigades","Duplicate",470
"580","al-Umar Mujahideen","al-Umar Mujahideen","Duplicate",584
"581","as-Saiqa","as-Saiqa","Duplicate",471
